coin_code,network,default_fee
btc,BTC,0.00100000000000000000000000000000
eth,ERC20,0.00000000000000000000000000000000
ltc,LTC,0.00000000000000000000000000000000
xrp,XRP,0.00000000000000000000000000000000
algo,ALGO,0.01000000000000000000000000000000
comp,ERC20,0.01000000000000000000000000000000
shib,ERC20,0.01000000000000000000000000000000
avax,AVAX,0.01000000000000000000000000000000
hbar,HBAR,0.01000000000000000000000000000000
trx,TRX,0.01000000000000000000000000000000
xlm,XLM,0.01000000000000000000000000000000
bch,BCH,0.00100000000000000000000000000000
eos,EOS,0.01000000000000000000000000000000
usdt,ERC20,0.01000000000000000000000000000000
link,ERC20,0.01000000000000000000000000000000
uni,ERC20,0.01000000000000000000000000000000
usdc,ERC20,0.01000000000000000000000000000000
matic,ERC20,0.01000000000000000000000000000000
axs,ERC20,0.01000000000000000000000000000000
sushi,ERC20,0.01000000000000000000000000000000
yfi,ERC20,0.01000000000000000000000000000000
dai,ERC20,0.01000000000000000000000000000000
enj,ERC20,0.01000000000000000000000000000000
sand,ERC20,0.01000000000000000000000000000000
mkr,ERC20,0.01000000000000000000000000000000
crv,ERC20,0.01000000000000000000000000000000
ftm,ERC20,0.01000000000000000000000000000000
badger,ERC20,0.01000000000000000000000000000000
1inch,ERC20,0.01000000000000000000000000000000
perp,ERC20,0.01000000000000000000000000000000
cream,ERC20,0.01000000000000000000000000000000
sxp,ERC20,0.01000000000000000000000000000000
bat,ERC20,0.01000000000000000000000000000000
chz,ERC20,0.01000000000000000000000000000000
zrx,ERC20,0.01000000000000000000000000000000
snx,ERC20,0.01000000000000000000000000000000
lrc,ERC20,0.01000000000000000000000000000000
aave,ERC20,0.01000000000000000000000000000000
bnt,ERC20,0.01000000000000000000000000000000
grt,ERC20,0.01000000000000000000000000000000
busd,ERC20,0.01000000000000000000000000000000
tusd,ERC20,0.01000000000000000000000000000000
cro,ERC20,0.01000000000000000000000000000000
ftt,ERC20,0.01000000000000000000000000000000
leo,ERC20,0.01000000000000000000000000000000
ht,ERC20,0.01000000000000000000000000000000
cel,ERC20,0.01000000000000000000000000000000
audio,ERC20,0.01000000000000000000000000000000
band,ERC20,0.01000000000000000000000000000000
dodo,ERC20,0.01000000000000000000000000000000
knc,ERC20,0.01000000000000000000000000000000
bal,ERC20,0.01000000000000000000000000000000
mith,ERC20,0.01000000000000000000000000000000
mtl,ERC20,0.01000000000000000000000000000000
omg,ERC20,0.01000000000000000000000000000000
storj,ERC20,0.01000000000000000000000000000000
alpha,ERC20,0.01000000000000000000000000000000
dent,ERC20,0.01000000000000000000000000000000
hxro,ERC20,0.01000000000000000000000000000000
loom,ERC20,0.01000000000000000000000000000000
orbs,ERC20,0.01000000000000000000000000000000
paxg,ERC20,0.01000000000000000000000000000000
slp,ERC20,0.01000000000000000000000000000000
wbtc,ERC20,0.01000000000000000000000000000000
yfii,ERC20,0.01000000000000000000000000000000
xtz,XTZ,0.01000000000000000000000000000000
egld,ERC20,0.01000000000000000000000000000000
oxy,ERC20,0.01000000000000000000000000000000
pundix,ERC20,0.01000000000000000000000000000000
reef,ERC20,0.01000000000000000000000000000000
skl,ERC20,0.01000000000000000000000000000000
mana,ERC20,0.01000000000000000000000000000000
pax,ERC20,0.01000000000000000000000000000000
