coin_code,jurisdiction,status
btc,bhr,listed
eth,bhr,listed
ltc,bhr,listed
xrp,bhr,listed
algo,bhr,draft
comp,bhr,draft
shib,bhr,draft
avax,bhr,draft
hbar,bhr,draft
trx,bhr,draft
xlm,bhr,draft
bch,bhr,draft
eos,bhr,draft
usdt,bhr,listed
link,bhr,listed
uni,bhr,draft
usdc,bhr,draft
matic,bhr,draft
axs,bhr,draft
sushi,bhr,draft
yfi,bhr,draft
dai,bhr,draft
enj,bhr,draft
sand,bhr,draft
mkr,bhr,draft
crv,bhr,draft
ftm,bhr,draft
badger,bhr,draft
1inch,bhr,draft
perp,bhr,draft
cream,bhr,draft
sxp,bhr,draft
bat,bhr,draft
chz,bhr,draft
zrx,bhr,draft
snx,bhr,draft
lrc,bhr,draft
aave,bhr,draft
bnt,bhr,draft
grt,bhr,draft
busd,bhr,draft
tusd,bhr,draft
cro,bhr,draft
ftt,bhr,draft
leo,bhr,draft
ht,bhr,draft
cel,bhr,draft
audio,bhr,draft
band,bhr,draft
dodo,bhr,draft
knc,bhr,draft
bal,bhr,draft
mith,bhr,draft
mtl,bhr,draft
omg,bhr,draft
storj,bhr,draft
alpha,bhr,draft
dent,bhr,draft
hxro,bhr,draft
loom,bhr,draft
orbs,bhr,draft
paxg,bhr,draft
slp,bhr,draft
wbtc,bhr,draft
yfii,bhr,draft
xtz,bhr,draft
egld,bhr,draft
oxy,bhr,draft
pundix,bhr,draft
btc,uae,listed
eth,uae,listed
ltc,uae,listed
xrp,uae,listed
algo,uae,draft
comp,uae,draft
shib,uae,draft
avax,uae,draft
hbar,uae,draft
trx,uae,draft
xlm,uae,draft
bch,uae,draft
eos,uae,draft
usdt,uae,listed
link,uae,listed
uni,uae,draft
usdc,uae,draft
matic,uae,draft
axs,uae,draft
sushi,uae,draft
yfi,uae,draft
dai,uae,draft
enj,uae,draft
sand,uae,draft
mkr,uae,draft
crv,uae,draft
ftm,uae,draft
badger,uae,draft
1inch,uae,draft
perp,uae,draft
cream,uae,draft
sxp,uae,draft
bat,uae,draft
chz,uae,draft
zrx,uae,draft
snx,uae,draft
lrc,uae,draft
aave,uae,draft
bnt,uae,draft
grt,uae,draft
busd,uae,draft
tusd,uae,draft
cro,uae,draft
ftt,uae,draft
leo,uae,draft
ht,uae,draft
cel,uae,draft
audio,uae,draft
band,uae,draft
dodo,uae,draft
knc,uae,draft
bal,uae,draft
mith,uae,draft
mtl,uae,draft
omg,uae,draft
storj,uae,draft
alpha,uae,draft
dent,uae,draft
hxro,uae,draft
loom,uae,draft
orbs,uae,draft
paxg,uae,draft
slp,uae,draft
wbtc,uae,draft
yfii,uae,draft
xtz,uae,draft
egld,uae,draft
oxy,uae,draft
pundix,uae,draft
btc,kwt,listed
eth,kwt,listed
ltc,kwt,listed
xrp,kwt,listed
algo,kwt,draft
comp,kwt,draft
shib,kwt,draft
avax,kwt,draft
hbar,kwt,draft
trx,kwt,draft
xlm,kwt,draft
bch,kwt,draft
eos,kwt,draft
usdt,kwt,listed
link,kwt,listed
uni,kwt,draft
usdc,kwt,draft
matic,kwt,draft
axs,kwt,draft
sushi,kwt,draft
yfi,kwt,draft
dai,kwt,draft
enj,kwt,draft
sand,kwt,draft
mkr,kwt,draft
crv,kwt,draft
ftm,kwt,draft
badger,kwt,draft
1inch,kwt,draft
perp,kwt,draft
cream,kwt,draft
sxp,kwt,draft
bat,kwt,draft
chz,kwt,draft
zrx,kwt,draft
snx,kwt,draft
lrc,kwt,draft
aave,kwt,draft
bnt,kwt,draft
grt,kwt,draft
busd,kwt,draft
tusd,kwt,draft
cro,kwt,draft
ftt,kwt,draft
leo,kwt,draft
ht,kwt,draft
cel,kwt,draft
audio,kwt,draft
band,kwt,draft
dodo,kwt,draft
knc,kwt,draft
bal,kwt,draft
mith,kwt,draft
mtl,kwt,draft
omg,kwt,draft
storj,kwt,draft
alpha,kwt,draft
dent,kwt,draft
hxro,kwt,draft
loom,kwt,draft
orbs,kwt,draft
paxg,kwt,draft
slp,kwt,draft
wbtc,kwt,draft
yfii,kwt,draft
xtz,kwt,draft
egld,kwt,draft
oxy,kwt,draft
pundix,kwt,draft
btc,sau,listed
eth,sau,listed
ltc,sau,listed
xrp,sau,listed
algo,sau,draft
comp,sau,draft
shib,sau,draft
avax,sau,draft
hbar,sau,draft
trx,sau,draft
xlm,sau,draft
bch,sau,draft
eos,sau,draft
usdt,sau,listed
link,sau,listed
uni,sau,draft
usdc,sau,draft
matic,sau,draft
axs,sau,draft
sushi,sau,draft
yfi,sau,draft
dai,sau,draft
enj,sau,draft
sand,sau,draft
mkr,sau,draft
crv,sau,draft
ftm,sau,draft
badger,sau,draft
1inch,sau,draft
perp,sau,draft
cream,sau,draft
sxp,sau,draft
bat,sau,draft
chz,sau,draft
zrx,sau,draft
snx,sau,draft
lrc,sau,draft
aave,sau,draft
bnt,sau,draft
grt,sau,draft
busd,sau,draft
tusd,sau,draft
cro,sau,draft
ftt,sau,draft
leo,sau,draft
ht,sau,draft
cel,sau,draft
audio,sau,draft
band,sau,draft
dodo,sau,draft
knc,sau,draft
bal,sau,draft
mith,sau,draft
mtl,sau,draft
omg,sau,draft
storj,sau,draft
alpha,sau,draft
