coin_code,category,jurisdiction,sort_order
btc,featured,omn,1
btc,featured,pk,1
btc,featured,tur,1
btc,popular,bhr,1
btc,popular,uae,1
btc,popular,tur,1
btc,featured,bhr,1
btc,popular,kwt,1
btc,featured,uae,1
btc,featured,kwt,1
btc,featured,sau,1
btc,popular,sau,1
btc,popular,pk,1
btc,popular,omn,1
eth,popular,omn,2
eth,featured,omn,2
eth,popular,sau,2
eth,featured,pk,2
eth,popular,bhr,2
eth,featured,bhr,2
eth,popular,tur,2
eth,featured,uae,2
eth,popular,pk,2
eth,featured,tur,2
eth,popular,kwt,2
eth,popular,uae,2
eth,featured,kwt,2
eth,featured,sau,2
ltc,popular,uae,5
ltc,featured,bhr,5
ltc,popular,bhr,5
ltc,featured,uae,5
ltc,featured,sau,5
ltc,popular,sau,5
ltc,featured,omn,5
ltc,popular,omn,5
ltc,featured,kwt,5
ltc,popular,kwt,5
ltc,featured,tur,5
ltc,popular,tur,5
ltc,featured,pk,5
ltc,popular,pk,5
xrp,popular,omn,4
xrp,popular,uae,4
xrp,popular,tur,4
xrp,popular,kwt,4
xrp,popular,bhr,4
xrp,featured,sau,4
xrp,popular,pk,4
xrp,popular,sau,4
xrp,featured,tur,4
xrp,featured,pk,4
xrp,featured,bhr,4
xrp,featured,kwt,4
xrp,featured,omn,4
xrp,featured,uae,4
usdt,popular,pk,3
usdt,featured,sau,3
usdt,popular,omn,3
usdt,featured,kwt,3
usdt,popular,uae,3
usdt,featured,bhr,3
usdt,popular,kwt,3
usdt,featured,uae,3
usdt,featured,tur,3
usdt,popular,tur,3
usdt,popular,bhr,3
usdt,featured,pk,3
usdt,popular,sau,3
usdt,featured,omn,3
link,popular,tur,6
link,popular,kwt,6
link,featured,pk,6
link,featured,kwt,6
link,popular,pk,6
link,popular,omn,6
link,popular,sau,6
link,featured,bhr,6
link,featured,omn,6
link,featured,tur,6
link,featured,uae,6
link,popular,bhr,6
link,featured,sau,6
link,popular,uae,6
