coin_code,extension_name,extension_value
link,ERC-20,true
usdt,ERC-20,true
link,MaxPrecision,18
eth,MaxPrecision,18
comp,ERC-20,true
shib,ERC-20,true
uni,ERC-20,true
usdc,ERC-20,true
matic,ERC-20,true
axs,ERC-20,true
sushi,ERC-20,true
yfi,ERC-20,true
dai,ERC-20,true
enj,ERC-20,true
sand,ERC-20,true
mkr,ERC-20,true
crv,ERC-20,true
ftm,ERC-20,true
badger,ERC-20,true
1inch,ERC-20,true
perp,ERC-20,true
cream,ERC-20,true
sxp,ERC-20,true
bat,ERC-20,true
chz,ERC-20,true
zrx,ERC-20,true
snx,ERC-20,true
lrc,ERC-20,true
aave,ERC-20,true
bnt,ERC-20,true
grt,ERC-20,true
busd,ERC-20,true
tusd,ERC-20,true
cro,ERC-20,true
ftt,ERC-20,true
leo,ERC-20,true
ht,ERC-20,true
cel,ERC-20,true
audio,ERC-20,true
band,ERC-20,true
dodo,ERC-20,true
knc,ERC-20,true
bal,ERC-20,true
mith,ERC-20,true
mtl,ERC-20,true
omg,ERC-20,true
storj,ERC-20,true
alpha,ERC-20,true
dent,ERC-20,true
hxro,ERC-20,true
loom,ERC-20,true
orbs,ERC-20,true
paxg,ERC-20,true
slp,ERC-20,true
wbtc,ERC-20,true
yfii,ERC-20,true
egld,ERC-20,true
oxy,ERC-20,true
pundix,ERC-20,true
reef,ERC-20,true
skl,ERC-20,true
mana,ERC-20,true
pax,ERC-20,true
ape,ERC-20,true
rook,ERC-20,true
tru,ERC-20,true
gala,ERC-20,true
cvc,ERC-20,true
ust,ERC-20,true
nexo,ERC-20,true
dydx,ERC-20,true
comp,MaxPrecision,18
shib,MaxPrecision,18
uni,MaxPrecision,18
matic,MaxPrecision,18
axs,MaxPrecision,18
sushi,MaxPrecision,18
skl,MaxPrecision,18
yfi,MaxPrecision,18
dai,MaxPrecision,18
enj,MaxPrecision,18
sand,MaxPrecision,18
mkr,MaxPrecision,18
crv,MaxPrecision,18
ftm,MaxPrecision,18
badger,MaxPrecision,18
1inch,MaxPrecision,18
perp,MaxPrecision,18
cream,MaxPrecision,18
sxp,MaxPrecision,18
bat,MaxPrecision,18
chz,MaxPrecision,18
zrx,MaxPrecision,18
snx,MaxPrecision,18
lrc,MaxPrecision,18
aave,MaxPrecision,18
bnt,MaxPrecision,18
grt,MaxPrecision,18
busd,MaxPrecision,18
tusd,MaxPrecision,18
ftt,MaxPrecision,18
leo,MaxPrecision,18
ht,MaxPrecision,18
audio,MaxPrecision,18
band,MaxPrecision,18
dodo,MaxPrecision,18
knc,MaxPrecision,18
bal,MaxPrecision,18
mith,MaxPrecision,18
omg,MaxPrecision,18
alpha,MaxPrecision,18
hxro,MaxPrecision,18
loom,MaxPrecision,18
orbs,MaxPrecision,18
paxg,MaxPrecision,18
yfii,MaxPrecision,18
egld,MaxPrecision,18
pundix,MaxPrecision,18
reef,MaxPrecision,18
mana,MaxPrecision,18
pax,MaxPrecision,18
ape,MaxPrecision,18
rook,MaxPrecision,18
ust,MaxPrecision,18
nexo,MaxPrecision,18
dydx,MaxPrecision,18
btc,Order,1
eth,Order,2
usdt,Order,3
usdc,Order,4
xrp,Order,5
avax,Order,6
ust,Order,7
busd,Order,8
shib,Order,9
wbtc,Order,10
matic,Order,11
cro,Order,12
dai,Order,13
ltc,Order,14
trx,Order,15
link,Order,16
bch,Order,17
uni,Order,18
leo,Order,19
ftt,Order,20
ape,Order,21
algo,Order,22
xlm,Order,23
hbar,Order,24
mana,Order,25
egld,Order,26
sand,Order,27
ftm,Order,28
xtz,Order,29
axs,Order,30
aave,Order,31
eos,Order,32
grt,Order,33
mkr,Order,34
ht,Order,35
tusd,Order,36
chz,Order,37
nexo,Order,38
gala,Order,39
crv,Order,40
enj,Order,41
lrc,Order,42
bat,Order,43
knc,Order,44
pax,Order,45
comp,Order,46
audio,Order,47
snx,Order,48
yfi,Order,49
zrx,Order,50
omg,Order,51
paxg,Order,52
skl,Order,53
bnt,Order,54
1inch,Order,55
sxp,Order,56
cel,Order,57
sushi,Order,58
storj,Order,59
perp,Order,60
dydx,Order,61
dent,Order,62
orbs,Order,63
pundix,Order,64
cvc,Order,65
mtl,Order,66
reef,Order,67
alpha,Order,68
hxro,Order,69
band,Order,70
bal,Order,71
badger,Order,72
tru,Order,73
loom,Order,74
slp,Order,75
rook,Order,76
yfii,Order,77
dodo,Order,78
mith,Order,79
cream,Order,80
oxy,Order,81
