coin_code,wallet_id,rebalance_minimum,rebalance_maximum,single_transaction_limit,hourly_limit,daily_limit,minimum_send_amount,send_fee,send_fee_coin_code,warning_minimum
btc,1,0,5,75,75,125,0.0000273,0,,0
btc,2,5,15,75,75,125,0.0000273,0,,5
btc,3,15,50,75,75,125,0.0000273,0,,0
eth,4,0,250,2500,2500,4000,0,0,,0
eth,5,250,500,2500,2500,4000,0,0,,250
eth,6,500,1000,2500,2500,4000,0,0,,0
ltc,7,0,50,7000,7000,12000,0.0000273,0,,0
ltc,8,250,5000,7000,7000,12000,0.0000273,0,,300
ltc,9,1500,5000,7000,7000,12000,0.0000273,0,,0
xrp,10,0,100000,1500000,1500000,2500000,0,0,,0
xrp,11,100000,500000,1500000,1500000,2500000,0,0,,100000
xrp,12,500000,1500000,1500000,1500000,2500000,0,0,,0
usdt,13,0,499830.83,199932.33,199932.33,299898.5,0,0,,0
usdt,14,99966.17,2499154.15,199932.33,199932.33,299898.5,0,0,,299.898
usdt,15,1249577.08,37487312.25,199932.33,199932.33,299898.5,0,0,,0
usdc,16,0,500078.9,200031.56,200031.56,300047.34,0,0,,0
usdc,17,100015.78,2500394.52,200031.56,200031.56,300047.34,0,0,,300.047
usdc,18,1250197.26,37505917.8,200031.56,200031.56,300047.34,0,0,,0
avax,19,0,6892.74,2757.1,2757.1,4135.64,0,0,,0
avax,20,1378.55,34463.7,2757.1,2757.1,4135.64,0,0,,4.136
avax,21,17231.85,516955.44,2757.1,2757.1,4135.64,0,0,,0
busd,22,0,500113.21,200045.28,200045.28,300067.92,0,0,,0
busd,23,100022.64,2500566.04,200045.28,200045.28,300067.92,0,0,,300.068
busd,24,1250283.02,37508490.56,200045.28,200045.28,300067.92,0,0,,0
shib,25,0,21443573304.54,8577429321.82,8577429321.82,12866143982.73,0,0,,0
shib,26,4288714660.91,107217866522.71,8577429321.82,8577429321.82,12866143982.73,0,0,,12866143.983
shib,27,53608933261.36,1608267997840.71,8577429321.82,8577429321.82,12866143982.73,0,0,,0
matic,28,0,342902.82,137161.13,137161.13,205741.69,0,0,,0
matic,29,68580.56,1714514.1,137161.13,137161.13,205741.69,0,0,,205.742
matic,30,857257.05,25717711.44,137161.13,137161.13,205741.69,0,0,,0
wbtc,31,0,12.84,5.14,5.14,7.71,0,0,,0
wbtc,32,2.57,64.21,5.14,5.14,7.71,0,0,,0.008
wbtc,33,32.1,963.14,5.14,5.14,7.71,0,0,,0
dai,34,0,499883.29,199953.31,199953.31,299929.97,0,0,,0
dai,35,99976.66,2499416.43,199953.31,199953.31,299929.97,0,0,,299.93
dai,36,1249708.21,37491246.38,199953.31,199953.31,299929.97,0,0,,0
cro,37,0,1284292.74,513717.1,513717.1,770575.65,0,0,,0
