name,code,precision,fiat_precision,block_explorer,minimum_confirmations,minimum_amount,exchange_warning_minimum
Bitcoin,btc,8,2,https://live.blockcypher.com/btc/tx/,3,0.0005,-1000000
Ethereum,eth,8,2,https://etherscan.io/tx/,35,0.005,-1000000
Litecoin,ltc,8,2,https://live.blockcypher.com/ltc/tx/,6,0.1,-1000000
Tether,usdt,6,3,https://etherscan.io/tx/,35,0.01,-1000000
XRP,xrp,6,4,https://xrpcharts.ripple.com/#/transactions/,1,20,-1000000
Algorand,algo,6,4,https://algoexplorer.io/tx/,1,0.01,-1000000
Compound,comp,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Shiba Inu,shib,8,8,https://etherscan.io/tx/,35,0.01,-1000000
Avalanche,avax,6,2,https://snowtrace.io/tx/,35,0.01,-1000000
Hedera,hbar,8,4,https://dragonglass.me/transactions/,60,0.01,-1000000
TRON,trx,6,5,https://tronscan.org/#/transaction/,20,0.01,-1000000
Stellar,xlm,7,4,https://stellarchain.io/tx/,1,0.01,-1000000
Bitcoin Cash,bch,8,2,https://www.blockchain.com/bch/tx/,3,0.01,-1000000
EOS,eos,4,2,https://bloks.io/transaction/,1,0.01,-1000000
Chainlink,link,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Uniswap,uni,8,2,https://etherscan.io/tx/,35,0.01,-1000000
USD Coin,usdc,6,3,https://etherscan.io/tx/,35,0.01,-1000000
Polygon,matic,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Axie Infinity,axs,8,2,https://etherscan.io/tx/,35,0.01,-1000000
SushiSwap,sushi,8,2,https://etherscan.io/tx/,35,0.01,-1000000
yearn.finance,yfi,8,2,https://etherscan.io/tx/,35,0.001,-1000000
Dai,dai,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Enjin Coin,enj,8,2,https://etherscan.io/tx/,35,0.01,-1000000
The Sandbox,sand,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Maker,mkr,8,2,https://etherscan.io/tx/,35,0.001,-1000000
Curve DAO Token,crv,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Fantom,ftm,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Badger DAO,badger,8,2,https://etherscan.io/tx/,35,0.01,-1000000
1inch Network,1inch,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Perpetual Protocol,perp,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Cream Finance,cream,8,2,https://etherscan.io/tx/,35,0.01,-1000000
SXP,sxp,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Basic Attention Token,bat,8,4,https://etherscan.io/tx/,35,0.01,-1000000
Chiliz,chz,8,4,https://etherscan.io/tx/,35,0.01,-1000000
0x,zrx,8,4,https://etherscan.io/tx/,35,0.01,-1000000
Synthetix,snx,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Loopring,lrc,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Aave,aave,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Bancor,bnt,8,2,https://etherscan.io/tx/,35,0.01,-1000000
The Graph,grt,8,4,https://etherscan.io/tx/,35,0.01,-1000000
Binance USD,busd,8,2,https://etherscan.io/tx/,35,0.01,-1000000
TrueUSD,tusd,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Crypto.com Coin,cro,8,4,https://etherscan.io/tx/,35,0.01,-1000000
FTX Token,ftt,8,2,https://etherscan.io/tx/,35,0.01,-1000000
UNUS SED LEO,leo,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Huobi Token,ht,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Celsius,cel,4,2,https://etherscan.io/tx/,35,0.01,-1000000
Audius,audio,8,4,https://etherscan.io/tx/,35,0.01,-1000000
Band Protocol,band,8,2,https://etherscan.io/tx/,35,0.01,-1000000
DODO,dodo,8,4,https://etherscan.io/tx/,35,0.01,-1000000
Kyber Network Crystal v2,knc,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Balancer,bal,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Mithril,mith,8,5,https://etherscan.io/tx/,35,0.01,-1000000
Metal,mtl,8,2,https://etherscan.io/tx/,35,0.01,-1000000
OMG Network,omg,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Storj,storj,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Alpha Finance Lab,alpha,8,4,https://etherscan.io/tx/,35,0.01,-1000000
Dent,dent,8,6,https://etherscan.io/tx/,35,0.01,-1000000
Hxro,hxro,8,4,https://etherscan.io/tx/,35,0.01,-1000000
Loom Network,loom,8,5,https://etherscan.io/tx/,35,0.01,-1000000
Orbs,orbs,8,5,https://etherscan.io/tx/,35,0.01,-1000000
PAX Gold,paxg,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Smooth Love Potion,slp,0,5,https://etherscan.io/tx/,35,0.01,-1000000
Wrapped Bitcoin,wbtc,8,2,https://etherscan.io/tx/,35,0.001,-1000000
DFI.Money,yfii,8,2,https://etherscan.io/tx/,35,0.001,-1000000
Tezos,xtz,6,2,https://granadanet.tzkt.io/,60,0.01,-1000000
Elrond,egld,8,2,https://etherscan.io/tx/,35,0.01,-1000000
Oxygen,oxy,6,3,https://etherscan.io/tx/,35,0.01,-1000000
Pundi X (New),pundix,8,4,https://etherscan.io/tx/,35,0.01,-1000000
Reef,reef,8,6,https://etherscan.io/tx/,35,0.01,-1000000
SKALE Network,skl,8,4,https://etherscan.io/tx/,35,0.01,-1000000
Decentraland,mana,8,4,https://etherscan.io/tx/,35,0.01,-1000000
Pax Dollar,pax,8,4,https://etherscan.io/tx/,35,0.01,-1000000
